Run,Iteration,Algorithm,Best P[0],Best P[1],Best P[2],Best P[3],Best Fitness,Avg Fitness,Worst Fitness
8,75,CSO,8.9538,7.8402,0.5031,5.8837,4.0034,3.4221,2.8858
8,100,CSO,8.5297,7.8929,4.7362,7.4424,4.0034,3.4772,3.0117
8,0,FPA,1.9388,6.7658,3.1053,8.3311,3.0887,2.5725,1.7004
8,25,FPA,10.0000,6.0597,0.0000,0.0000,3.9150,3.1060,2.4035
8,50,FPA,10.0000,10.0000,0.0000,0.0000,4.0820,3.4209,2.5531
8,75,FPA,4.1411,4.7024,2.9736,0.0000,4.0820,3.5241,2.5531
8,100,FPA,10.0000,8.4722,7.4800,1.4248,4.0820,3.6007,3.1425
9,0,CSO,0.9493,7.7603,0.8747,4.8150,3.0846,2.5356,1.4601
9,25,CSO,6.2699,7.3459,1.6941,1.8779,4.0820,3.1340,2.5104
9,50,CSO,7.5245,8.5956,0.0000,3.9095,4.0820,3.2408,2.6084
9,75,CSO,4.6541,10.0000,6.6200,6.6289,4.0820,3.3094,2.8006
9,100,CSO,1.8420,7.4461,3.6643,4.1827,4.0820,3.3856,2.8373
9,0,FPA,5.7224,9.5672,0.5615,5.4347,3.0852,2.5175,1.1022
9,25,FPA,0.0000,10.0000,0.0000,0.0000,3.6520,3.0685,2.3114
9,50,FPA,1.5349,5.9335,0.0000,9.4228,3.6592,3.3055,2.8733
9,75,FPA,10.0000,8.8765,2.0380,0.1338,4.0820,3.5048,3.0276
9,100,FPA,6.2113,7.1927,9.2822,0.0000,4.0820,3.5775,3.0276
10,0,CSO,0.6308,9.8029,8.8517,1.5594,3.1337,2.4209,1.6517
10,25,CSO,10.0000,7.7016,0.0000,0.0000,4.0820,3.0956,2.5553
10,50,CSO,10.0000,10.0000,0.6107,9.0283,4.0820,3.2757,2.7904
10,75,CSO,9.7137,9.3156,1.5499,4.3196,4.0820,3.3250,2.7904
10,100,CSO,7.9530,8.6542,6.6016,7.5974,4.0820,3.4470,3.0307
10,0,FPA,1.3936,5.1246,1.7267,9.6371,3.2564,2.5884,1.6283
10,25,FPA,10.0000,10.0000,0.0000,0.0000,4.0820,3.1852,2.4854
10,50,FPA,10.0000,7.2405,1.3121,0.1650,4.0820,3.3057,2.5712
10,75,FPA,8.2902,7.8962,5.5468,3.9286,4.0820,3.5676,2.6814
10,100,FPA,10.0000,0.6213,2.6225,0.3609,4.0820,3.6170,2.6814
