P_max,Algorithm,iters_needed_mean,iters_needed_median,iters_needed_std,auc_mean,auc_std,final_mean
1.0,CSO,8.3,6.5,7.510659092250161,179.26815669671703,2.148170485723804,1.8207747184026786
1.0,FPA,9.9,10.0,5.821511831131154,180.2410510077714,1.721709226827364,1.8391126265534568
