Run	Iteration	Algorithm	Best P[0]	Best P[1]	Best P[2]	Best P[3]	Best Fitness	Avg Fitness	Worst Fitness
8	50	CSO	0.3168	0.6325	1.0000	0.4890	1.8389	1.5671	1.3045
8	75	CSO	0.5695	0.3320	0.3923	0.6065	1.8423	1.6155	1.3218
8	100	CSO	0.9186	0.7056	0.0083	0.5777	1.8423	1.6279	1.3635
8	0	FPA	0.4779	0.7160	0.9716	0.7823	1.6046	1.2701	0.8256
8	25	FPA	0.5685	0.5446	1.0000	0.6481	1.7716	1.5126	1.1548
8	50	FPA	0.2045	0.7763	1.0000	0.6924	1.7716	1.6104	1.3794
8	75	FPA	0.0000	0.9953	1.0000	0.5349	1.8423	1.6577	1.4797
8	100	FPA	0.0000	1.0000	0.5731	0.7124	1.8423	1.6811	1.4797
9	0	CSO	0.9232	0.9426	0.9315	0.9888	1.7027	1.2957	0.7833
9	25	CSO	0.3295	0.8488	0.7584	0.8615	1.7824	1.5375	1.1367
9	50	CSO	0.9205	0.9307	0.5034	0.3809	1.8300	1.6099	1.1491
9	75	CSO	0.6810	0.6020	1.0000	0.2321	1.8300	1.6564	1.3827
9	100	CSO	0.2105	0.1205	0.0442	0.9656	1.8300	1.6679	1.4411
9	0	FPA	0.3899	0.9366	0.8442	0.9902	1.7352	1.2607	0.8132
9	25	FPA	0.1731	1.0000	0.9875	0.9055	1.8068	1.5583	0.9285
9	50	FPA	0.1025	0.9992	1.0000	0.8697	1.8423	1.6389	1.3201
9	75	FPA	0.0383	1.0000	0.1792	0.4191	1.8423	1.6941	1.4162
9	100	FPA	0.0000	1.0000	0.0124	0.4851	1.8423	1.7117	1.5741
10	0	CSO	0.2719	0.8274	0.8684	0.7096	1.6201	1.2195	0.5668
10	25	CSO	0.7317	0.4820	0.6732	0.7276	1.8044	1.4729	1.0953
10	50	CSO	0.9929	0.6205	0.0861	0.7852	1.8044	1.5246	1.1573
10	75	CSO	0.8783	0.9974	0.0550	0.9041	1.8044	1.5620	1.1573
10	100	CSO	0.0923	0.5925	0.1970	0.5015	1.8044	1.6112	1.2526
10	0	FPA	0.6340	0.8581	0.9133	0.7919	1.6298	1.2326	0.5924
10	25	FPA	0.0000	0.1263	0.9995	0.3759	1.7796	1.5551	0.9597
10	50	FPA	0.0843	1.0000	0.9719	0.9517	1.8094	1.6415	1.2574
10	75	FPA	0.1923	0.5134	1.0000	1.0000	1.8094	1.7055	1.5497
10	100	FPA	0.0255	0.9928	1.0000	0.8636	1.8273	1.7308	1.5497
